CraterID,Lon,Lat,Diameter,is_cut,box info,coordinary info,is_AUTOvalidated,is_MANUALvalidated,confidence
29-000084,170.333,-61.383,55.14,1,0.5 0.5 0.5 0.5,9985150.914357439 -3582622.949758218 10214513.567518186 -3692649.5017609694,1,1,
29-000129,171.311,-62.21,49.23,1,0.5 0.5 0.5 0.5,10052120.748373799 -3637690.805221275 10262450.289182052 -3735910.6272911476,1,1,
29-000375,168.603,-61.554,30.3,1,0.5 0.5 0.5 0.5,9931594.904530527 -3618105.696036354 10058264.999023696 -3678583.826306743,1,1,
29-000447,169.809,-60.106,27.87,1,0.5 0.5 0.5 0.5,10010487.506413324 -3534739.8773256456 10121849.116030972 -3590391.0002281354,1,1,
29-000465,168.096,-60.784,26.95,1,0.5 0.5 0.5 0.5,9909641.244853849 -3575859.311715573 10019590.78097538 -3629663.763968278,1,1,
29-000671,169.985817,-62.000687,22.31,1,0.5 0.5 0.5 0.5,10052201.027690 -3663939.509162 10099514.708320 -3686204.395545,3,0,0.0
29-000964,169.235838,-62.148627,17.11,1,0.5 0.5 0.5 0.5,10013173.218842 -3675303.607447 10049632.980794 -3692378.520315,3,0,0.0
29-000969,170.521660,-61.875633,17.02,1,0.5 0.5 0.5 0.5,10089647.305092 -3659166.973885 10125592.313902 -3676151.887212,1,0,1.0
29-001353,171.824,-62.81,12.78,1,0.5 0.5 0.5 0.5,10157179.160334194 -3710245.216706341 10212858.045523548 -3735748.6141897435,0,0,
29-001694,170.18,-60.239,10.22,1,0.5 0.5 0.5 0.5,10066977.312567627 -3560417.2148911287 10107973.530356055 -3580825.857281288,0,0,
29-001748,169.393,-62.389,9.87,1,0.5 0.5 0.5 0.5,10019637.895585552 -3688212.343814347 10062034.260935638 -3707910.9704243587,0,0,
29-002805,169.714688,-63.434855,5.59,1,0.5 0.5 0.5 0.5,10053566.317788 -3757293.094959 10066007.236545 -3762870.566497,1,0,1.0
29-003017,171.178,-61.474,5.11,1,0.5 0.5 0.5 0.5,10135901.766221236 -3638745.1159723187 10157205.283094652 -3648946.2256258936,0,0,
29-003280,170.484,-62.839,4.52,1,0.5 0.5 0.5 0.5,10095557.448275182 -3720246.7813721863 10115268.509058353 -3729266.9227682,0,0,
29-003473,170.621,-62.724,4.22,1,0.5 0.5 0.5 0.5,10104364.504317762 -3713730.185350518 10122695.799274068 -3722151.8932801634,0,0,
29-003532,170.339843,-61.495346,4.13,1,0.445521 0.625605 0.566586 0.498184,10092549.865956 -3642782.310441 10101135.510931 -3647453.788172,2,0,0.917172
29-003538,168.073259,-60.173904,4.12,1,0.5 0.5 0.5 0.5,9958369.119921 -3564733.714003 9966614.077847 -3568846.193017,1,0,1.0
29-003555,171.726293,-60.292906,4.1,1,0.5 0.5 0.5 0.5,10174905.704880 -3571797.525027 10183142.410371 -3575890.004143,1,0,1.0
29-003691,170.629272,-60.649913,3.9,1,0.5 0.5 0.5 0.5,10110037.805553 -3593059.011994 10117959.130278 -3596951.492131,3,0,0.0
29-003900,168.056255,-62.730900,3.6,1,0.5 0.5 0.5 0.5,9957573.680452 -3716560.142839 9965393.640547 -3720150.124520,1,0,1.0
29-003951,171.225051,-60.819154,3.54,1,0.325565 0.540254 0.569209 0.591808,10145032.711062 -3603024.820766 10153593.443032 -3607049.107860,2,0,0.837957
29-004383,168.281922,-63.428245,3.08,1,0.464286 0.598214 0.501623 0.506494,9971388.512485 -3758148.830414 9978331.523619 -3761231.288019,2,0,0.654926
29-004464,168.064,-60.495,3.01,1,0.5 0.5 0.5 0.5,9955867.787194382 -3582815.244952815 9968036.715823513 -3588825.682112043,0,0,
29-005120,169.003,-60.869,2.58,1,0.5 0.5 0.5 0.5,10012332.813242229 -3605414.1537507647 10022884.917143594 -3610565.44863542,0,0,
